"","County","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson","Total","Population","per100kRate","Year"
"63","Monona",16,0,1,0,15,37,15,15,7,0,106,8730,1214.20389461627,2019
"64","Monroe",5,0,3,0,2,20,5,8,7,0,50,7807,640.450877417702,2019
"65","Muscatine",21,1,7,1,12,56,29,20,7,0,154,42889,359.066427289048,2019
"66","O'Brien",21,0,5,0,16,57,12,41,4,1,157,13835,1134.80303577882,2019
"67","Osceola",14,0,1,0,13,73,14,57,2,0,174,6052,2875.08261731659,2019
"68","Page",3,0,1,0,2,26,9,11,6,0,58,15268,379.879486507729,2019
"69","Palo Alto",15,0,2,0,13,48,23,21,4,0,126,9003,1399.53348883705,2019
"70","Plymouth",13,0,3,0,10,45,15,23,7,0,116,25068,462.741343545556,2019
"71","Ringgold",4,0,0,0,4,21,4,16,1,0,50,4964,1007.25221595488,2019
"72","Sac",6,0,1,0,5,32,10,20,2,1,77,9802,785.553968577841,2019
"73","Shelby",3,0,0,0,3,14,6,7,1,1,35,11606,301.568154402895,2019
"74","Sioux",7,0,3,0,4,50,12,35,3,0,114,34827,327.332242225859,2019
"75","Tama",23,0,1,0,22,57,22,23,12,0,160,17032,939.408172851104,2019
"76","Taylor",8,0,0,0,8,14,3,8,3,1,45,6167,729.690287011513,2019
"77","Union",4,0,0,0,4,46,14,28,4,0,100,12358,809.192425958893,2019
"78","Van Buren",4,0,0,0,4,58,24,31,3,0,124,7150,1734.26573426573,2019
"79","Wapello",25,0,2,0,23,91,33,45,13,2,234,35141,665.888847784639,2019
"80","Wayne",8,0,0,0,8,28,13,12,3,1,73,6429,1135.47985689843,2019
"81","Webster",27,0,4,0,23,113,41,59,13,2,282,36545,771.651388698864,2019
"82","Winneshiek",9,0,2,0,7,12,1,8,3,0,42,20262,207.284572105419,2019
"83","Worth",6,0,1,0,5,27,7,19,1,0,66,7445,886.501007387508,2019
"84","Wright",4,0,1,0,3,21,4,14,3,1,51,12739,400.345396027946,2019
