GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
1900025,Panorama ,B07001_018,197,69,2010,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
1900025,Panorama ,B07001_034,22,21,2010,Estimate!!Total!!Moved within same county!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
1900025,Panorama ,B07001_050,12,13,2010,Estimate!!Total!!Moved from different county within same state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
1900025,Panorama ,B07001_066,0,99,2010,Estimate!!Total!!Moved from different state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
1900025,Panorama ,B07001_082,17,20,2010,Estimate!!Total!!Moved from abroad!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
1900026,South O'Brien ,B07001_002,273,75,2010,Estimate!!Total!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
1900026,South O'Brien ,B07001_018,166,45,2010,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
1900026,South O'Brien ,B07001_034,43,25,2010,Estimate!!Total!!Moved within same county!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
1900026,South O'Brien ,B07001_050,35,43,2010,Estimate!!Total!!Moved from different county within same state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
1900026,South O'Brien ,B07001_066,29,40,2010,Estimate!!Total!!Moved from different state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
