"","name","year","unemprate"
"65","Allamakee",2020,5.05833333333333
"66","Allamakee",2021,5.16666666666667
"67","Appanoose",2000,4.43333333333333
"68","Appanoose",2001,5.175
"69","Appanoose",2002,5.24166666666667
"70","Appanoose",2003,5.35833333333333
"71","Appanoose",2004,5.50833333333333
"72","Appanoose",2005,5.23333333333333
"73","Appanoose",2006,5.375
"74","Appanoose",2007,6.84166666666667
"75","Appanoose",2008,5.45833333333333
"76","Appanoose",2009,8.68333333333333
"77","Appanoose",2010,7.44166666666667
"78","Appanoose",2011,7.025
"79","Appanoose",2012,6.55
"80","Appanoose",2013,6.375
"81","Appanoose",2014,5.7
"82","Appanoose",2015,4.85833333333333
"83","Appanoose",2016,4.68333333333333
"84","Appanoose",2017,3.75833333333333
"85","Appanoose",2018,3.41666666666667
"86","Appanoose",2019,3.61666666666667
"87","Appanoose",2020,5.275
"88","Appanoose",2021,4.33333333333333
"89","Audubon",2000,2.99166666666667
"90","Audubon",2001,3.23333333333333
"91","Audubon",2002,3.83333333333333
"92","Audubon",2003,3.975
"93","Audubon",2004,4.175
"94","Audubon",2005,4.58333333333333
"95","Audubon",2006,3.95833333333333
"96","Audubon",2007,3.91666666666667
"97","Audubon",2008,4.46666666666667
"98","Audubon",2009,5.83333333333333
"99","Audubon",2010,5.69166666666667
"100","Audubon",2011,5.83333333333333
"101","Audubon",2012,4.825
"102","Audubon",2013,4.89166666666667
"103","Audubon",2014,4.30833333333333
"104","Audubon",2015,3.93333333333333
"105","Audubon",2016,3.26666666666667
"106","Audubon",2017,3.05833333333333
"107","Audubon",2018,2.53333333333333
"108","Audubon",2019,2.5
"109","Audubon",2020,3.425
"110","Audubon",2021,3.4
"111","Benton",2000,2.325
"112","Benton",2001,3.1
"113","Benton",2002,4.26666666666667
"114","Benton",2003,4.70833333333333
"115","Benton",2004,4.575
"116","Benton",2005,4.76666666666667
"117","Benton",2006,3.94166666666667
"118","Benton",2007,3.9
"119","Benton",2008,4.15
"120","Benton",2009,6.30833333333333
"121","Benton",2010,6.3
"122","Benton",2011,5.9
"123","Benton",2012,5.325
"124","Benton",2013,5.10833333333333
"125","Benton",2014,4.6
"126","Benton",2015,3.84166666666667
"127","Benton",2016,3.55833333333333
"128","Benton",2017,3.25
"129","Benton",2018,2.78333333333333
"130","Benton",2019,2.98333333333333
"131","Benton",2020,5.04166666666667
"132","Benton",2021,4.75
"133","Black Hawk",2000,2.83333333333333
"134","Black Hawk",2001,3.44166666666667
"135","Black Hawk",2002,3.975
"136","Black Hawk",2003,4.55833333333333
"137","Black Hawk",2004,4.56666666666667
"138","Black Hawk",2005,4.35833333333333
"139","Black Hawk",2006,3.81666666666667
"140","Black Hawk",2007,3.74166666666667
"141","Black Hawk",2008,4.06666666666667
"142","Black Hawk",2009,6.10833333333333
"143","Black Hawk",2010,6.275
"144","Black Hawk",2011,5.93333333333333
"145","Black Hawk",2012,5.475
"146","Black Hawk",2013,5.10833333333333
"147","Black Hawk",2014,4.89166666666667
"148","Black Hawk",2015,4.525
"149","Black Hawk",2016,4.6
"150","Black Hawk",2017,3.73333333333333
"151","Black Hawk",2018,2.88333333333333
"152","Black Hawk",2019,3.23333333333333
"153","Black Hawk",2020,6.15
"154","Black Hawk",2021,4.91666666666667
"155","Boone",2000,2.19166666666667
"156","Boone",2001,2.775
"157","Boone",2002,3.20833333333333
"158","Boone",2003,3.48333333333333
"159","Boone",2004,3.525
"160","Boone",2005,3.48333333333333
"161","Boone",2006,2.90833333333333
"162","Boone",2007,3.275
"163","Boone",2008,3.56666666666667
"164","Boone",2009,5.925
"165","Boone",2010,5.80833333333333
"166","Boone",2011,5.04166666666667
"167","Boone",2012,4.33333333333333
"168","Boone",2013,4.05833333333333
"169","Boone",2014,3.39166666666667
"170","Boone",2015,3.00833333333333
"171","Boone",2016,2.75833333333333
"172","Boone",2017,2.44166666666667
"173","Boone",2018,2.20833333333333
"174","Boone",2019,2.39166666666667
"175","Boone",2020,4.06666666666667
"176","Boone",2021,3.68333333333333
"177","Bremer",2000,2.49166666666667
"178","Bremer",2001,3.09166666666667
"179","Bremer",2002,3.34166666666667
"180","Bremer",2003,3.86666666666667
"181","Bremer",2004,3.80833333333333
"182","Bremer",2005,3.69166666666667
"183","Bremer",2006,3.175
"184","Bremer",2007,3.10833333333333
"185","Bremer",2008,3.51666666666667
"186","Bremer",2009,5.40833333333333
"187","Bremer",2010,5
"188","Bremer",2011,4.45
"189","Bremer",2012,3.84166666666667
"190","Bremer",2013,3.79166666666667
"191","Bremer",2014,3.66666666666667
"192","Bremer",2015,3.49166666666667
"193","Bremer",2016,3.55
"194","Bremer",2017,2.79166666666667
"195","Bremer",2018,2.10833333333333
"196","Bremer",2019,2.325
"197","Bremer",2020,3.95833333333333
"198","Bremer",2021,3.41666666666667
"199","Buchanan",2000,2.86666666666667
"200","Buchanan",2001,3.90833333333333
"201","Buchanan",2002,4.5
"202","Buchanan",2003,4.49166666666667
"203","Buchanan",2004,4.575
"204","Buchanan",2005,4.59166666666667
"205","Buchanan",2006,4.225
"206","Buchanan",2007,4.18333333333333
"207","Buchanan",2008,4.05
"208","Buchanan",2009,6.61666666666667
"209","Buchanan",2010,6.075
"210","Buchanan",2011,5.75833333333333
"211","Buchanan",2012,4.83333333333333
"212","Buchanan",2013,4.73333333333333
"213","Buchanan",2014,4.65
"214","Buchanan",2015,4.21666666666667
"215","Buchanan",2016,4.075
"216","Buchanan",2017,3.175
"217","Buchanan",2018,2.63333333333333
"218","Buchanan",2019,2.76666666666667
"219","Buchanan",2020,4.56666666666667
"220","Buchanan",2021,4.05
"221","Buena Vista",2000,2.38333333333333
"222","Buena Vista",2001,2.65833333333333
"223","Buena Vista",2002,3.2
"224","Buena Vista",2003,3.59166666666667
"225","Buena Vista",2004,3.96666666666667
"226","Buena Vista",2005,3.83333333333333
"227","Buena Vista",2006,3.25833333333333
"228","Buena Vista",2007,3.19166666666667
"229","Buena Vista",2008,3.56666666666667
"230","Buena Vista",2009,5.23333333333333
"231","Buena Vista",2010,4.825
"232","Buena Vista",2011,4.6
"233","Buena Vista",2012,4.19166666666667
"234","Buena Vista",2013,3.96666666666667
"235","Buena Vista",2014,3.96666666666667
"236","Buena Vista",2015,3.63333333333333
"237","Buena Vista",2016,3.5
"238","Buena Vista",2017,2.6
"239","Buena Vista",2018,2.15833333333333
"240","Buena Vista",2019,2.125
"241","Buena Vista",2020,3.66666666666667
"242","Buena Vista",2021,3.21666666666667
"243","Butler",2000,3.26666666666667
"244","Butler",2001,4.39166666666667
"245","Butler",2002,4.525
"246","Butler",2003,4.98333333333333
"247","Butler",2004,4.625
"248","Butler",2005,4.825
"249","Butler",2006,4.075
"250","Butler",2007,4.025
"251","Butler",2008,4.61666666666667
